Date,Cloud Fraction
10/1/2004,0.310507446
10/2/2004,0.300557767
10/3/2004,0.355872834
10/4/2004,0.286249153
10/5/2004,0.318011267
10/6/2004,0.420317136
10/7/2004,0.303987683
10/8/2004,0.263553226
10/9/2004,0.238972424
10/10/2004,0.297770762
10/11/2004,0.270148496
10/12/2004,0.295980926
10/13/2004,0.284844088
10/14/2004,0.283335613
10/15/2004,0.285700699
10/17/2004,0.347570218
10/18/2004,0.29125615
10/19/2004,0.324785125
10/20/2004,0.286827384
10/21/2004,0.358025347
10/22/2004,0.336816656
10/23/2004,0.298342554
10/24/2004,0.288078661
10/25/2004,0.279351207
10/26/2004,0.321032498
10/27/2004,0.309225036
10/28/2004,0.329756276
10/29/2004,0.287009589
10/30/2004,0.301864671
10/31/2004,0.298207047
11/1/2004,0.274279529
11/2/2004,0.326963663
11/3/2004,0.222732777
11/4/2004,0.26797236
11/5/2004,0.272755636
11/6/2004,0.370628724
11/7/2004,0.311416268
11/8/2004,0.305742702
11/9/2004,0.297440834
11/10/2004,0.268536631
11/11/2004,0.296447197
11/12/2004,0.265341853
11/13/2004,0.30344388
11/14/2004,0.307306546
11/15/2004,0.337583907
11/16/2004,0.317740601
11/18/2004,0.30912809
12/2/2004,0.290840747
12/3/2004,0.271265896
12/4/2004,0.276997682
12/5/2004,0.260217558
12/6/2004,0.299558266
12/7/2004,0.292978447
12/8/2004,0.308531485
12/9/2004,0.315547743
12/10/2004,0.316494664
12/11/2004,0.320445186
12/12/2004,0.301993173
12/13/2004,0.293434347
12/14/2004,0.256015018
12/15/2004,0.315123197
12/16/2004,0.290004214
12/17/2004,0.325259918
12/18/2004,0.29798059
12/20/2004,0.358783341
12/21/2004,0.284657552
12/22/2004,0.332517265
12/23/2004,0.279502695
12/24/2004,0.308191211
12/25/2004,0.286552938
12/26/2004,0.276760343
12/27/2004,0.292912997
12/28/2004,0.284701784
12/29/2004,0.251522322
12/30/2004,0.251019452
1/1/2005,0.270542362
1/2/2005,0.337267148
1/3/2005,0.29297814
1/4/2005,0.279754358
1/5/2005,0.309351614
1/6/2005,0.286573318
1/7/2005,0.327165148
1/8/2005,0.291519412
1/9/2005,0.293234813
1/10/2005,0.306837687
1/11/2005,0.3070217
1/12/2005,0.297914803
1/13/2005,0.35414658
1/14/2005,0.375341706
1/15/2005,0.322851715
1/16/2005,0.362273686
1/17/2005,0.333355542
1/18/2005,0.328216267
1/19/2005,0.344505547
1/21/2005,0.316252449
1/22/2005,0.317635498
1/23/2005,0.2974353
1/24/2005,0.247193027
1/25/2005,0.291236003
1/26/2005,0.270775136
1/27/2005,0.334253232
1/28/2005,0.326034661
1/29/2005,0.314600062
1/30/2005,0.318189286
1/31/2005,0.308168601
2/1/2005,0.382701322
2/2/2005,0.407920745
2/3/2005,0.410186368
2/4/2005,0.319387636
2/5/2005,0.300319347
2/6/2005,0.254350667
2/7/2005,0.242623865
2/8/2005,0.309867918
2/9/2005,0.298191434
2/10/2005,0.335437451
2/11/2005,0.32989327
2/12/2005,0.388219472
2/13/2005,0.292750873
2/14/2005,0.331967221
2/15/2005,0.342276508
2/16/2005,0.331613272
2/17/2005,0.354833249
2/18/2005,0.28700547
2/19/2005,0.364544243
2/20/2005,0.315693347
2/22/2005,0.313020481
2/23/2005,0.313931101
2/24/2005,0.293321104
2/25/2005,0.292060235
2/26/2005,0.321247238
2/27/2005,0.259099983
2/28/2005,0.295970594
3/1/2005,0.331748636
3/2/2005,0.329730888
3/3/2005,0.362187601
3/4/2005,0.296884143
3/5/2005,0.318334081
3/6/2005,0.312851601
3/7/2005,0.35341866
3/8/2005,0.301444044
3/9/2005,0.308211794
3/10/2005,0.27541104
3/11/2005,0.253394597
3/12/2005,0.291040266
3/13/2005,0.264099018
3/14/2005,0.313738541
3/15/2005,0.277198987
3/16/2005,0.290322214
3/17/2005,0.289726451
3/18/2005,0.291790989
3/19/2005,0.312727812
3/20/2005,0.26543791
3/21/2005,0.336124891
3/22/2005,0.284081833
3/23/2005,0.317430525
3/24/2005,0.292529874
3/26/2005,0.292194712
3/27/2005,0.263040506
3/28/2005,0.321940174
3/29/2005,0.302049942
3/30/2005,0.33176087
3/31/2005,0.262200066
4/1/2005,0.300357572
4/2/2005,0.291822475
4/3/2005,0.328561181
4/4/2005,0.30484525
4/5/2005,0.295333689
4/6/2005,0.32542661
4/7/2005,0.25646825
4/8/2005,0.282331317
4/9/2005,0.284115926
4/10/2005,0.282770871
4/11/2005,0.260041157
4/12/2005,0.291237356
4/13/2005,0.305006377
4/14/2005,0.280805601
4/15/2005,0.315733674
4/16/2005,0.308132443
4/17/2005,0.358265581
4/18/2005,0.343571347
4/19/2005,0.33090358
4/20/2005,0.352004678
4/21/2005,0.327912424
4/22/2005,0.276863437
4/23/2005,0.315042435
4/24/2005,0.302850607
4/25/2005,0.277197449
4/27/2005,0.367603017
4/28/2005,0.35265123
4/29/2005,0.376530613
4/30/2005,0.304937315
5/1/2005,0.304099804
5/2/2005,0.280692016
5/3/2005,0.245031121
5/4/2005,0.223502073
5/5/2005,0.281756962
5/6/2005,0.26183299
5/7/2005,0.320938085
5/8/2005,0.320121207
5/9/2005,0.304322856
5/10/2005,0.273167803
5/11/2005,0.246216743
5/12/2005,0.238500043
5/13/2005,0.261858478
5/14/2005,0.262886432
5/15/2005,0.304246495
5/16/2005,0.314595338
5/17/2005,0.331937252
5/18/2005,0.257173376
5/19/2005,0.291111547
5/20/2005,0.300923458
5/21/2005,0.337109497
5/22/2005,0.356124238
5/23/2005,0.343871431
5/24/2005,0.238886214
5/25/2005,0.24292327
5/26/2005,0.303593759
5/27/2005,0.26228771
5/29/2005,0.25438889
5/30/2005,0.318435846
5/31/2005,0.320176304
6/1/2005,0.32197483
6/2/2005,0.286690082
6/3/2005,0.250420288
6/4/2005,0.2515104
6/5/2005,0.272217
6/6/2005,0.281846776
6/7/2005,0.261781797
6/8/2005,0.254104121
6/9/2005,0.252110749
6/10/2005,0.239203233
6/11/2005,0.249347025
6/12/2005,0.256809416
6/13/2005,0.225410584
6/14/2005,0.256016434
6/15/2005,0.239131648
6/16/2005,0.225715816
6/17/2005,0.23924891
6/18/2005,0.230580773
6/19/2005,0.266844686
6/20/2005,0.285378403
6/21/2005,0.322923613
6/22/2005,0.345530605
6/23/2005,0.333760262
6/24/2005,0.284283643
6/25/2005,0.22971249
6/26/2005,0.271400157
6/27/2005,0.265263746
6/28/2005,0.314803052
6/30/2005,0.231593924
7/1/2005,0.225760632
7/2/2005,0.227505769
7/3/2005,0.220665836
7/4/2005,0.22017747
7/5/2005,0.295059817
7/6/2005,0.280053347
7/7/2005,0.298262221
7/8/2005,0.274040605
7/9/2005,0.239905114
7/10/2005,0.241003937
7/11/2005,0.262226679
7/12/2005,0.252281763
7/13/2005,0.227773638
7/14/2005,0.21684888
7/15/2005,0.267933517
7/16/2005,0.219149951
7/17/2005,0.24370742
7/18/2005,0.30805118
7/19/2005,0.2610788
7/20/2005,0.277016513
7/21/2005,0.25192751
7/22/2005,0.242919482
7/23/2005,0.247867465
7/24/2005,0.232900136
7/25/2005,0.276082372
7/26/2005,0.242000478
7/27/2005,0.232920498
7/28/2005,0.243097758
7/29/2005,0.211765767
7/30/2005,0.250925423
8/1/2005,0.239730547
8/2/2005,0.236919728
8/3/2005,0.259121146
8/4/2005,0.229936665
8/5/2005,0.238752981
8/6/2005,0.247614554
8/7/2005,0.272345144
8/8/2005,0.305915412
8/9/2005,0.267920163
8/10/2005,0.257889652
8/11/2005,0.245637366
8/12/2005,0.23008129
8/13/2005,0.229567956
8/14/2005,0.206072381
8/15/2005,0.2404135
8/16/2005,0.252443007
8/17/2005,0.276301483
8/18/2005,0.261040365
8/19/2005,0.266719236
8/20/2005,0.271151761
8/21/2005,0.215024179
8/22/2005,0.250210777
8/23/2005,0.223724141
8/24/2005,0.280404109
8/25/2005,0.23973549
8/26/2005,0.284531622
8/27/2005,0.214826465
8/28/2005,0.18671109
8/29/2005,0.201393005
8/30/2005,0.216442683
8/31/2005,0.252029798
9/2/2005,0.278343216
9/3/2005,0.205953886
9/4/2005,0.2330609
9/5/2005,0.234568989
9/6/2005,0.236162728
9/7/2005,0.249603328
9/8/2005,0.285118554
9/9/2005,0.270772817
9/10/2005,0.239714055
9/11/2005,0.271305086
9/12/2005,0.339238828
9/13/2005,0.372965457
9/14/2005,0.297966721
9/15/2005,0.30171341
9/16/2005,0.306112135
9/17/2005,0.23657098
9/18/2005,0.294605836
9/19/2005,0.242225599
9/20/2005,0.254788886
9/21/2005,0.255839673
9/22/2005,0.272139712
9/23/2005,0.276149832
9/24/2005,0.275434525
9/25/2005,0.322854294
9/26/2005,0.311676178
9/27/2005,0.335695841
9/28/2005,0.314742759
9/29/2005,0.282821057
9/30/2005,0.246463605
10/1/2005,0.248856377
10/2/2005,0.246860285
10/4/2005,0.24978108
10/5/2005,0.304342104
10/6/2005,0.311438759
10/7/2005,0.264202174
10/8/2005,0.295969555
10/9/2005,0.282743756
10/10/2005,0.25829428
10/11/2005,0.296861708
10/12/2005,0.236669492
10/13/2005,0.283094533
10/14/2005,0.276588433
10/15/2005,0.280222948
10/16/2005,0.270333216
10/17/2005,0.276974175
10/18/2005,0.317483196
10/19/2005,0.322143746
10/20/2005,0.319948246
10/21/2005,0.273198668
10/22/2005,0.344488543
10/23/2005,0.256949982
10/24/2005,0.326183244
10/25/2005,0.319813521
10/26/2005,0.274676072
10/27/2005,0.273028117
10/28/2005,0.250564955
10/29/2005,0.317358859
10/30/2005,0.337689233
10/31/2005,0.370025471
11/1/2005,0.275150459
11/2/2005,0.322077154
11/3/2005,0.313626402
11/5/2005,0.309828956
11/6/2005,0.292023578
11/7/2005,0.348936061
11/8/2005,0.345912264
11/9/2005,0.387638387
11/10/2005,0.398227702
11/11/2005,0.445578325
11/12/2005,0.333034639
11/13/2005,0.359269868
11/14/2005,0.342523642
11/15/2005,0.338833103
11/16/2005,0.341960145
11/17/2005,0.313911593
11/18/2005,0.339142135
11/19/2005,0.322114422
11/20/2005,0.347952725
11/21/2005,0.326924225
11/22/2005,0.314860953
11/23/2005,0.316909829
11/24/2005,0.298822023
11/25/2005,0.359500239
11/26/2005,0.291980872
11/27/2005,0.31888871
11/28/2005,0.32044145
11/29/2005,0.290499824
11/30/2005,0.304572686
12/1/2005,0.30520995
12/2/2005,0.350102582
12/3/2005,0.320748099
12/4/2005,0.345271353
12/5/2005,0.331773076
12/7/2005,0.341352669
12/8/2005,0.321283672
12/9/2005,0.379049825
12/10/2005,0.286951394
12/11/2005,0.346105133
12/12/2005,0.328331671
12/13/2005,0.359617481
12/14/2005,0.339999208
12/15/2005,0.334226936
12/16/2005,0.343403663
12/17/2005,0.332410371
12/18/2005,0.363760288
12/19/2005,0.334794523
12/20/2005,0.319085574
12/21/2005,0.288308679
12/22/2005,0.290414305
12/23/2005,0.304916735
12/24/2005,0.294337483
12/25/2005,0.341855801
12/26/2005,0.317545374
12/27/2005,0.36889236
12/28/2005,0.320817541
12/29/2005,0.376271712
12/30/2005,0.310131027
